# command: python3 c4min_hunt_run.py ../results/k4_certs_4_n4_3.json.gz --ckpt=../results/k4_c4min_hunt_n4_3.ckpt
# commit 759e80f, k4/c4min_hunt.c sha1 32b7ad4cec3d, started Fri Sep 25 20:47:52 UTC 2026
core 125 m 7 profiles 143327232 fails 0 solved 6412 secs 0.3
core 126 m 7 profiles 143327232 fails 0 solved 6960 secs 0.3
core 127 m 7 profiles 143327232 fails 0 solved 3621 secs 0.2
core 128 m 7 profiles 143327232 fails 0 solved 2506 secs 0.4
core 129 m 7 profiles 143327232 fails 0 solved 2858 secs 0.3
core 130 m 7 profiles 143327232 fails 0 solved 1705 secs 0.3
core 131 m 7 profiles 143327232 fails 0 solved 2893 secs 0.2
core 132 m 7 profiles 143327232 fails 0 solved 5142 secs 0.5
core 133 m 7 profiles 143327232 fails 0 solved 1306 secs 0.2
core 134 m 7 profiles 143327232 fails 0 solved 1622 secs 0.1
core 135 m 7 profiles 143327232 fails 0 solved 3213 secs 0.2
core 136 m 7 profiles 143327232 fails 0 solved 4531 secs 0.2
core 137 m 8 profiles 71663616 fails 0 solved 724 secs 0.3
core 138 m 8 profiles 71663616 fails 0 solved 6369 secs 0.5
core 139 m 8 profiles 71663616 fails 0 solved 3472 secs 0.3
core 140 m 8 profiles 71663616 fails 0 solved 4531 secs 0.5
core 141 m 8 profiles 71663616 fails 0 solved 3749 secs 0.5
core 142 m 8 profiles 71663616 fails 0 solved 2822 secs 0.5
core 143 m 8 profiles 71663616 fails 0 solved 3242 secs 0.7
core 144 m 8 profiles 71663616 fails 0 solved 6519 secs 0.4
core 145 m 8 profiles 71663616 fails 0 solved 4396 secs 0.5
core 146 m 8 profiles 35831808 fails 0 solved 4965 secs 0.3
core 147 m 8 profiles 35831808 fails 0 solved 4908 secs 0.4
core 148 m 8 profiles 35831808 fails 0 solved 6459 secs 0.3
core 149 m 8 profiles 35831808 fails 0 solved 4489 secs 0.4
core 150 m 8 profiles 35831808 fails 0 solved 8440 secs 0.3
core 151 m 8 profiles 35831808 fails 0 solved 8615 secs 0.3
core 152 m 8 profiles 71663616 fails 0 solved 10662 secs 0.5
core 153 m 8 profiles 71663616 fails 0 solved 10996 secs 0.5
core 154 m 8 profiles 71663616 fails 0 solved 5933 secs 0.5
core 155 m 8 profiles 71663616 fails 0 solved 5695 secs 0.4
core 156 m 8 profiles 71663616 fails 0 solved 8099 secs 0.4
core 157 m 8 profiles 71663616 fails 0 solved 7268 secs 0.7
core 158 m 8 profiles 71663616 fails 0 solved 7932 secs 0.5
core 159 m 8 profiles 71663616 fails 0 solved 8258 secs 0.5
core 160 m 8 profiles 71663616 fails 0 solved 4859 secs 0.5
core 161 m 8 profiles 71663616 fails 0 solved 5299 secs 0.5
core 162 m 8 profiles 71663616 fails 0 solved 7025 secs 0.4
core 163 m 8 profiles 71663616 fails 0 solved 8336 secs 0.5
core 164 m 8 profiles 71663616 fails 0 solved 5637 secs 0.5
core 165 m 8 profiles 71663616 fails 0 solved 7544 secs 0.4
core 166 m 8 profiles 71663616 fails 0 solved 6477 secs 0.5
core 167 m 8 profiles 71663616 fails 0 solved 5657 secs 0.5
core 168 m 8 profiles 71663616 fails 0 solved 8268 secs 0.6
core 169 m 8 profiles 71663616 fails 0 solved 2241 secs 0.2
core 170 m 8 profiles 71663616 fails 0 solved 5893 secs 0.7
core 171 m 8 profiles 71663616 fails 0 solved 3555 secs 0.7
core 172 m 8 profiles 71663616 fails 0 solved 3039 secs 0.5
core 173 m 8 profiles 71663616 fails 0 solved 2085 secs 0.4
core 174 m 8 profiles 71663616 fails 0 solved 4948 secs 0.3
core 175 m 8 profiles 71663616 fails 0 solved 4343 secs 0.7
core 176 m 8 profiles 71663616 fails 0 solved 4146 secs 0.4
core 177 m 8 profiles 71663616 fails 0 solved 4280 secs 0.4
core 178 m 8 profiles 71663616 fails 0 solved 4645 secs 0.4
core 179 m 8 profiles 71663616 fails 0 solved 4955 secs 0.4
core 180 m 8 profiles 71663616 fails 0 solved 5533 secs 0.6
core 181 m 8 profiles 71663616 fails 0 solved 5351 secs 0.5
core 182 m 8 profiles 71663616 fails 0 solved 5975 secs 0.5
core 183 m 8 profiles 71663616 fails 0 solved 5945 secs 0.7
core 184 m 8 profiles 71663616 fails 0 solved 5066 secs 0.5
core 185 m 8 profiles 71663616 fails 0 solved 3521 secs 0.4
core 186 m 8 profiles 71663616 fails 0 solved 5586 secs 0.5
core 187 m 8 profiles 71663616 fails 0 solved 4977 secs 0.6
core 188 m 8 profiles 71663616 fails 0 solved 6965 secs 0.5
core 189 m 8 profiles 71663616 fails 0 solved 2372 secs 0.2
core 190 m 8 profiles 71663616 fails 0 solved 2896 secs 0.2
core 191 m 8 profiles 71663616 fails 0 solved 4874 secs 0.5
core 192 m 8 profiles 71663616 fails 0 solved 7164 secs 0.6
