# command: python3 c4min_hunt_run.py ../results/k4_certs_6_n4_1.json.gz --jobs=3 --ckpt=../results/k4_c4min_hunt_n6_1.ckpt
# commit bf2f6af, k4/c4min_hunt.c sha1 60fbc9be5f85, started Fri Sep 25 23:37:09 UTC 2026
core 146 m 6 profiles 2239488 fails 0 solved 6576 secs 0.0
core 147 m 6 profiles 2239488 fails 0 solved 9986 secs 0.0
core 148 m 6 profiles 2239488 fails 0 solved 6660 secs 0.0
core 149 m 6 profiles 2239488 fails 0 solved 7674 secs 0.0
core 150 m 6 profiles 2239488 fails 0 solved 10844 secs 0.0
core 151 m 6 profiles 2239488 fails 0 solved 8514 secs 0.0
core 152 m 6 profiles 2239488 fails 0 solved 13386 secs 0.1
core 153 m 6 profiles 2239488 fails 0 solved 6554 secs 0.0
core 154 m 6 profiles 2239488 fails 0 solved 10233 secs 0.0
core 155 m 6 profiles 2239488 fails 0 solved 13119 secs 0.1
core 156 m 6 profiles 2239488 fails 0 solved 10320 secs 0.0
core 157 m 6 profiles 2239488 fails 0 solved 15676 secs 0.1
core 158 m 6 profiles 2239488 fails 0 solved 9008 secs 0.0
core 159 m 6 profiles 2239488 fails 0 solved 7603 secs 0.0
core 160 m 6 profiles 2239488 fails 0 solved 14546 secs 0.1
core 161 m 6 profiles 2239488 fails 0 solved 15633 secs 0.1
core 162 m 6 profiles 2239488 fails 0 solved 7431 secs 0.0
core 163 m 6 profiles 2239488 fails 0 solved 14555 secs 0.1
core 164 m 6 profiles 2239488 fails 0 solved 11270 secs 0.0
core 165 m 6 profiles 2239488 fails 0 solved 7922 secs 0.0
core 166 m 6 profiles 2239488 fails 0 solved 11497 secs 0.0
core 167 m 6 profiles 2239488 fails 0 solved 14634 secs 0.1
core 168 m 6 profiles 2239488 fails 0 solved 10650 secs 0.0
core 169 m 6 profiles 2239488 fails 0 solved 14231 secs 0.1
core 170 m 6 profiles 2239488 fails 0 solved 8785 secs 0.0
core 171 m 6 profiles 2239488 fails 0 solved 11646 secs 0.1
core 172 m 6 profiles 2239488 fails 0 solved 9664 secs 0.0
core 173 m 6 profiles 2239488 fails 0 solved 14281 secs 0.1
core 174 m 6 profiles 2239488 fails 0 solved 9940 secs 0.0
core 175 m 6 profiles 2239488 fails 0 solved 8519 secs 0.0
core 176 m 6 profiles 2239488 fails 0 solved 10065 secs 0.0
core 177 m 6 profiles 2239488 fails 0 solved 8294 secs 0.0
core 178 m 6 profiles 2239488 fails 0 solved 7330 secs 0.0
core 179 m 6 profiles 2239488 fails 0 solved 13122 secs 0.1
core 180 m 6 profiles 2239488 fails 0 solved 8968 secs 0.0
core 181 m 6 profiles 2239488 fails 0 solved 12834 secs 0.1
core 182 m 6 profiles 2239488 fails 0 solved 9409 secs 0.0
core 183 m 6 profiles 2239488 fails 0 solved 8708 secs 0.0
core 184 m 6 profiles 2239488 fails 0 solved 12722 secs 0.1
