# pass 1: $ cd k4 && python3 mincex_cert.py ../results/k4_min_cex_shapes_4.json.gz OUT --jobs=3 --timeout=30   (search4.py scanner; stopped after 2,463 cores and resumed in pass 2)
5558 cores, 0 in the checkpoint, 5558 to run
n = 5, m = 10, kinds P4P4P4Q3P3, 47775744 profiles: 22 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds P4P4Q3P4P3, 4976640 profiles: 12 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds P4Q3P4P4P3, 4976640 profiles: 23 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds Q3P4P4P4P3, 4976640 profiles: 18 allocations, 0 D2 failures, 0.3 s
n = 5, m = 11, kinds P4P4P4P4P3, 41278242816 profiles: 169 allocations, 0 D2 failures, 29.2 s
n = 5, m = 11, kinds P4P4P4P4P3, 238878720 profiles: 44 allocations, 0 D2 failures, 0.4 s
n = 5, m = 10, kinds P4Q4P3P4P3, 28800 profiles: 1 allocations, 0 D2 failures, 0.0 s
n = 5, m = 10, kinds P4P3P4Q4P3, 207360 profiles: 9 allocations, 0 D2 failures, 0.1 s
n = 5, m = 10, kinds P4P4P4Q3P3, 47775744 profiles: 21 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds P4P4Q3P4P3, 4976640 profiles: 18 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds P4Q3P4P4P3, 4976640 profiles: 19 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds Q3P4P4P4P3, 4976640 profiles: 20 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds P3Q4P4P4P3, 28800 profiles: 2 allocations, 0 D2 failures, 0.0 s
n = 5, m = 10, kinds P3Q4P4P3P4, 28800 profiles: 4 allocations, 0 D2 failures, 0.1 s
n = 5, m = 10, kinds Q4P3P3P4P4, 1327104 profiles: 6 allocations, 0 D2 failures, 0.1 s
n = 5, m = 10, kinds Q4P3P3P4P4, 1990656 profiles: 17 allocations, 0 D2 failures, 0.2 s
n = 5, m = 11, kinds P4P4P4P4P3, 238878720 profiles: 36 allocations, 0 D2 failures, 0.5 s
n = 5, m = 10, kinds P4P4P3P4Q3, 4976640 profiles: 19 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds P4Q3P3P4P4, 4976640 profiles: 19 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds P4P4P3Q3P4, 4976640 profiles: 20 allocations, 0 D2 failures, 0.7 s
n = 5, m = 11, kinds P4P4P3P4P4, 238878720 profiles: 48 allocations, 0 D2 failures, 0.5 s
n = 5, m = 10, kinds Q3P4P3P4P4, 47775744 profiles: 28 allocations, 0 D2 failures, 0.7 s
n = 5, m = 10, kinds Q4P3P3P4P4, 1327104 profiles: 16 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds Q4Q4P4P3P3, 207360 profiles: 8 allocations, 0 D2 failures, 0.1 s
n = 5, m = 10, kinds Q4P4Q4P3P3, 1327104 profiles: 15 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds Q4Q3P3P4P4, 573308928 profiles: 118 allocations, 0 D2 failures, 1.3 s
n = 5, m = 10, kinds Q4P4P3P4Q3, 573308928 profiles: 121 allocations, 0 D2 failures, 1.5 s
n = 5, m = 10, kinds Q4Q4P4P3P3, 3317760 profiles: 31 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds Q4P4Q4P3P3, 23887872 profiles: 27 allocations, 0 D2 failures, 0.4 s
n = 5, m = 10, kinds Q4P4P4P3Q3, 47775744 profiles: 24 allocations, 0 D2 failures, 0.5 s
n = 5, m = 10, kinds Q4P4Q3P3P4, 4976640 profiles: 20 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds Q4Q3P4P3P4, 4976640 profiles: 16 allocations, 0 D2 failures, 0.3 s
