# command: python3 c4min_hunt_run.py ../results/k4_certs_2.json.gz ../results/k4_certs_3.json.gz ../results/k4_certs_4_n4_1.json.gz ../results/k4_certs_4_n4_2.json.gz -V
# commit d478b63, k4/c4min_hunt.c sha1 9c7ca0ffe25b, started Fri Sep 25 21:12:42 UTC 2026
core 103 m 7 profiles 62208 fails 0 solved 44 secs 0.0
core 104 m 7 profiles 62208 fails 0 solved 9 secs 0.1
core 105 m 7 profiles 62208 fails 0 solved 8 secs 0.0
core 106 m 7 profiles 62208 fails 0 solved 10 secs 0.0
core 107 m 7 profiles 62208 fails 0 solved 49 secs 0.1
core 108 m 7 profiles 62208 fails 0 solved 36 secs 0.0
core 109 m 7 profiles 62208 fails 0 solved 58 secs 0.0
core 110 m 7 profiles 62208 fails 0 solved 47 secs 0.1
core 111 m 7 profiles 62208 fails 0 solved 20 secs 0.0
core 112 m 7 profiles 62208 fails 0 solved 18 secs 0.0
core 113 m 7 profiles 62208 fails 0 solved 11 secs 0.1
core 114 m 7 profiles 62208 fails 0 solved 14 secs 0.0
core 115 m 8 profiles 31104 fails 0 solved 84 secs 0.0
core 116 m 8 profiles 31104 fails 0 solved 79 secs 0.0
core 117 m 8 profiles 31104 fails 0 solved 54 secs 0.0
core 118 m 8 profiles 31104 fails 0 solved 39 secs 0.0
core 119 m 8 profiles 31104 fails 0 solved 42 secs 0.0
core 120 m 8 profiles 31104 fails 0 solved 36 secs 0.0
core 121 m 8 profiles 31104 fails 0 solved 42 secs 0.0
core 122 m 8 profiles 31104 fails 0 solved 52 secs 0.0
core 123 m 8 profiles 31104 fails 0 solved 50 secs 0.0
core 124 m 8 profiles 31104 fails 0 solved 25 secs 0.0
core 125 m 8 profiles 31104 fails 0 solved 33 secs 0.0
core 126 m 8 profiles 31104 fails 0 solved 33 secs 0.0
core 127 m 8 profiles 62208 fails 0 solved 10 secs 0.0
core 128 m 8 profiles 62208 fails 0 solved 24 secs 0.0
core 129 m 8 profiles 62208 fails 0 solved 8 secs 0.1
core 130 m 8 profiles 62208 fails 0 solved 15 secs 0.0
core 131 m 8 profiles 62208 fails 0 solved 10 secs 0.0
core 132 m 8 profiles 62208 fails 0 solved 17 secs 0.0
core 133 m 8 profiles 62208 fails 0 solved 9 secs 0.0
core 134 m 9 profiles 31104 fails 0 solved 6 secs 0.0
FILE ../results/k4_certs_4_n4_1.json.gz cores 135 profiles 7247232 solved 17471 templates 17471 cachehits 92565 fails 0 verified 7247232 faillines 0
core 0 m 4 profiles 2985984 fails 0 solved 1076 secs 2.4
core 1 m 4 profiles 2985984 fails 0 solved 1122 secs 2.4
core 2 m 5 profiles 2985984 fails 0 solved 860 secs 2.4
core 3 m 5 profiles 2985984 fails 0 solved 941 secs 2.6
core 4 m 5 profiles 2985984 fails 0 solved 797 secs 2.6
core 5 m 5 profiles 2985984 fails 0 solved 730 secs 2.3
core 6 m 5 profiles 2985984 fails 0 solved 782 secs 2.7
core 7 m 5 profiles 2985984 fails 0 solved 803 secs 2.8
core 8 m 5 profiles 2985984 fails 0 solved 876 secs 2.8
core 9 m 5 profiles 2985984 fails 0 solved 711 secs 2.8
core 10 m 5 profiles 2985984 fails 0 solved 700 secs 3.3
core 11 m 5 profiles 2985984 fails 0 solved 888 secs 2.3
core 12 m 5 profiles 2985984 fails 0 solved 667 secs 2.4
core 13 m 5 profiles 2985984 fails 0 solved 736 secs 2.8
core 14 m 5 profiles 2985984 fails 0 solved 573 secs 3.2
core 15 m 5 profiles 2985984 fails 0 solved 622 secs 2.4
core 16 m 5 profiles 2985984 fails 0 solved 675 secs 2.6
core 17 m 5 profiles 2985984 fails 0 solved 745 secs 2.6
core 18 m 6 profiles 1492992 fails 0 solved 653 secs 1.2
core 19 m 6 profiles 1492992 fails 0 solved 596 secs 1.6
core 20 m 6 profiles 1492992 fails 0 solved 587 secs 1.7
core 21 m 6 profiles 1492992 fails 0 solved 435 secs 1.7
core 22 m 6 profiles 1492992 fails 0 solved 1060 secs 1.2
core 23 m 6 profiles 2985984 fails 0 solved 805 secs 2.0
core 24 m 6 profiles 2985984 fails 0 solved 767 secs 2.5
core 25 m 6 profiles 2985984 fails 0 solved 569 secs 2.3
core 26 m 6 profiles 2985984 fails 0 solved 530 secs 2.3
core 27 m 6 profiles 2985984 fails 0 solved 579 secs 2.6
core 28 m 6 profiles 2985984 fails 0 solved 561 secs 3.0
core 29 m 6 profiles 2985984 fails 0 solved 627 secs 2.1
core 30 m 6 profiles 2985984 fails 0 solved 813 secs 2.0
