# command: python3 c4min_hunt_run.py ../results/k4_certs_5_n4_1.json.gz ../results/k4_certs_5_n4_2.json.gz --ckpt=../results/k4_c4min_hunt_n5_12.ckpt
# commit 4eb9656, k4/c4min_hunt.c sha1 9c7ca0ffe25b, started Fri Sep 25 21:11:03 UTC 2026
core 307 m 7 profiles 186624 fails 0 solved 1681 secs 0.0
core 308 m 7 profiles 186624 fails 0 solved 1632 secs 0.0
core 309 m 7 profiles 186624 fails 0 solved 1808 secs 0.0
core 310 m 7 profiles 186624 fails 0 solved 1787 secs 0.0
core 311 m 7 profiles 186624 fails 0 solved 1792 secs 0.0
core 312 m 7 profiles 186624 fails 0 solved 1856 secs 0.0
core 313 m 7 profiles 186624 fails 0 solved 1546 secs 0.0
core 314 m 7 profiles 186624 fails 0 solved 1529 secs 0.0
core 315 m 7 profiles 186624 fails 0 solved 1601 secs 0.0
core 316 m 7 profiles 186624 fails 0 solved 1430 secs 0.0
core 317 m 7 profiles 186624 fails 0 solved 1515 secs 0.0
core 318 m 7 profiles 186624 fails 0 solved 1648 secs 0.0
core 319 m 7 profiles 186624 fails 0 solved 1594 secs 0.0
core 320 m 7 profiles 186624 fails 0 solved 1866 secs 0.0
core 321 m 7 profiles 186624 fails 0 solved 1794 secs 0.0
core 322 m 7 profiles 186624 fails 0 solved 1698 secs 0.0
core 323 m 7 profiles 186624 fails 0 solved 1491 secs 0.0
core 324 m 7 profiles 186624 fails 0 solved 1620 secs 0.0
core 325 m 7 profiles 186624 fails 0 solved 1611 secs 0.0
core 326 m 7 profiles 186624 fails 0 solved 1435 secs 0.0
core 327 m 7 profiles 186624 fails 0 solved 1624 secs 0.0
core 328 m 7 profiles 186624 fails 0 solved 1475 secs 0.0
core 329 m 7 profiles 186624 fails 0 solved 1330 secs 0.0
core 330 m 7 profiles 186624 fails 0 solved 1479 secs 0.0
core 331 m 7 profiles 186624 fails 0 solved 1506 secs 0.0
core 332 m 7 profiles 186624 fails 0 solved 1423 secs 0.0
core 333 m 7 profiles 186624 fails 0 solved 1652 secs 0.0
core 334 m 7 profiles 186624 fails 0 solved 1810 secs 0.0
core 335 m 7 profiles 186624 fails 0 solved 1831 secs 0.0
core 336 m 7 profiles 186624 fails 0 solved 1683 secs 0.0
core 337 m 7 profiles 186624 fails 0 solved 2156 secs 0.0
core 338 m 7 profiles 186624 fails 0 solved 1883 secs 0.0
core 339 m 7 profiles 186624 fails 0 solved 1761 secs 0.0
core 340 m 7 profiles 186624 fails 0 solved 1691 secs 0.0
core 341 m 7 profiles 186624 fails 0 solved 1831 secs 0.0
core 342 m 7 profiles 186624 fails 0 solved 1772 secs 0.0
core 343 m 7 profiles 186624 fails 0 solved 1740 secs 0.0
core 344 m 7 profiles 186624 fails 0 solved 1939 secs 0.0
core 345 m 7 profiles 186624 fails 0 solved 1921 secs 0.0
core 346 m 7 profiles 186624 fails 0 solved 1957 secs 0.0
core 347 m 7 profiles 186624 fails 0 solved 1991 secs 0.0
core 348 m 7 profiles 186624 fails 0 solved 1860 secs 0.0
