# command: python3 c4min_hunt_run.py ../results/k4_certs_5_n4_3.json.gz --jobs=3 --ckpt=../results/k4_c4min_hunt_n5_3.ckpt
# commit 4127f70, k4/c4min_hunt.c sha1 9c7ca0ffe25b, started Fri Sep 25 21:19:13 UTC 2026
core 173 m 6 profiles 859963392 fails 0 solved 71154 secs 2.0
core 174 m 6 profiles 859963392 fails 0 solved 93761 secs 2.5
core 175 m 6 profiles 859963392 fails 0 solved 64928 secs 2.2
core 176 m 6 profiles 859963392 fails 0 solved 99167 secs 2.4
core 177 m 6 profiles 859963392 fails 0 solved 56501 secs 2.2
core 178 m 6 profiles 859963392 fails 0 solved 60609 secs 2.1
core 179 m 6 profiles 859963392 fails 0 solved 75215 secs 2.5
core 180 m 6 profiles 859963392 fails 0 solved 101932 secs 2.3
core 181 m 6 profiles 859963392 fails 0 solved 67688 secs 2.1
core 182 m 6 profiles 859963392 fails 0 solved 99946 secs 2.6
core 183 m 6 profiles 859963392 fails 0 solved 96994 secs 3.2
core 184 m 6 profiles 859963392 fails 0 solved 72867 secs 2.3
core 185 m 6 profiles 859963392 fails 0 solved 84644 secs 2.7
core 186 m 6 profiles 859963392 fails 0 solved 95899 secs 2.9
core 187 m 6 profiles 859963392 fails 0 solved 73794 secs 3.1
core 188 m 6 profiles 859963392 fails 0 solved 101755 secs 2.6
core 189 m 6 profiles 859963392 fails 0 solved 94059 secs 2.6
core 190 m 6 profiles 859963392 fails 0 solved 73388 secs 2.3
core 191 m 6 profiles 859963392 fails 0 solved 56584 secs 2.1
core 192 m 6 profiles 859963392 fails 0 solved 115768 secs 2.7
core 193 m 6 profiles 859963392 fails 0 solved 95403 secs 2.3
core 194 m 6 profiles 859963392 fails 0 solved 66215 secs 2.2
core 195 m 6 profiles 859963392 fails 0 solved 61184 secs 2.1
core 196 m 6 profiles 859963392 fails 0 solved 101584 secs 2.6
core 197 m 6 profiles 859963392 fails 0 solved 61025 secs 2.1
core 198 m 6 profiles 859963392 fails 0 solved 68780 secs 2.4
core 199 m 6 profiles 859963392 fails 0 solved 70903 secs 2.3
core 200 m 6 profiles 859963392 fails 0 solved 86266 secs 2.2
core 201 m 6 profiles 859963392 fails 0 solved 64259 secs 2.2
core 202 m 6 profiles 859963392 fails 0 solved 86043 secs 2.7
core 203 m 6 profiles 859963392 fails 0 solved 127978 secs 3.0
core 204 m 6 profiles 859963392 fails 0 solved 103518 secs 2.0
core 205 m 6 profiles 859963392 fails 0 solved 124070 secs 2.4
core 206 m 6 profiles 859963392 fails 0 solved 93007 secs 2.5
core 207 m 6 profiles 859963392 fails 0 solved 79198 secs 2.4
core 208 m 6 profiles 859963392 fails 0 solved 89938 secs 2.6
core 209 m 6 profiles 859963392 fails 0 solved 86866 secs 2.1
core 210 m 6 profiles 859963392 fails 0 solved 99897 secs 2.6
core 211 m 6 profiles 859963392 fails 0 solved 111045 secs 2.4
core 212 m 6 profiles 859963392 fails 0 solved 84035 secs 2.4
core 213 m 6 profiles 859963392 fails 0 solved 111906 secs 2.6
core 214 m 6 profiles 859963392 fails 0 solved 104578 secs 2.1
core 215 m 6 profiles 859963392 fails 0 solved 76406 secs 2.7
core 216 m 6 profiles 859963392 fails 0 solved 78080 secs 2.4
core 217 m 6 profiles 859963392 fails 0 solved 98198 secs 2.9
core 218 m 6 profiles 859963392 fails 0 solved 106967 secs 2.6
core 219 m 6 profiles 859963392 fails 0 solved 108286 secs 2.8
core 220 m 6 profiles 859963392 fails 0 solved 70980 secs 2.0
core 221 m 6 profiles 859963392 fails 0 solved 53902 secs 2.1
core 222 m 6 profiles 859963392 fails 0 solved 73646 secs 2.4
core 223 m 6 profiles 859963392 fails 0 solved 75899 secs 2.5
core 224 m 6 profiles 859963392 fails 0 solved 64658 secs 2.3
core 225 m 6 profiles 859963392 fails 0 solved 84123 secs 2.4
core 226 m 6 profiles 859963392 fails 0 solved 83058 secs 2.6
core 227 m 6 profiles 859963392 fails 0 solved 59769 secs 2.2
core 228 m 6 profiles 859963392 fails 0 solved 76563 secs 2.2
core 229 m 6 profiles 859963392 fails 0 solved 76253 secs 2.3
core 230 m 6 profiles 859963392 fails 0 solved 89094 secs 3.1
core 231 m 6 profiles 859963392 fails 0 solved 55216 secs 2.2
core 232 m 6 profiles 859963392 fails 0 solved 73863 secs 2.0
core 233 m 6 profiles 859963392 fails 0 solved 94344 secs 2.7
core 234 m 6 profiles 859963392 fails 0 solved 73264 secs 2.2
core 235 m 6 profiles 859963392 fails 0 solved 86191 secs 2.7
core 236 m 6 profiles 859963392 fails 0 solved 89693 secs 2.6
core 237 m 6 profiles 859963392 fails 0 solved 96467 secs 2.9
core 238 m 6 profiles 859963392 fails 0 solved 70560 secs 2.5
core 239 m 6 profiles 859963392 fails 0 solved 89376 secs 2.8
core 240 m 6 profiles 859963392 fails 0 solved 78517 secs 3.1
core 241 m 6 profiles 859963392 fails 0 solved 91527 secs 2.3
core 242 m 6 profiles 859963392 fails 0 solved 107336 secs 2.8
core 243 m 6 profiles 859963392 fails 0 solved 96845 secs 2.2
core 244 m 6 profiles 859963392 fails 0 solved 113227 secs 3.2
core 245 m 6 profiles 859963392 fails 0 solved 89432 secs 2.5
core 246 m 6 profiles 859963392 fails 0 solved 105866 secs 2.6
core 247 m 6 profiles 859963392 fails 0 solved 114757 secs 3.0
core 248 m 6 profiles 859963392 fails 0 solved 88225 secs 2.7
core 249 m 6 profiles 859963392 fails 0 solved 108593 secs 2.9
core 250 m 6 profiles 859963392 fails 0 solved 101532 secs 2.8
core 251 m 6 profiles 859963392 fails 0 solved 78742 secs 2.5
core 252 m 6 profiles 859963392 fails 0 solved 107765 secs 3.2
core 253 m 6 profiles 859963392 fails 0 solved 115813 secs 2.9
core 254 m 6 profiles 859963392 fails 0 solved 71355 secs 2.4
core 255 m 6 profiles 859963392 fails 0 solved 87395 secs 2.7
core 256 m 6 profiles 859963392 fails 0 solved 98906 secs 2.8
core 257 m 6 profiles 859963392 fails 0 solved 103844 secs 3.0
core 258 m 6 profiles 859963392 fails 0 solved 115208 secs 2.7
core 259 m 6 profiles 859963392 fails 0 solved 65279 secs 2.7
core 260 m 6 profiles 859963392 fails 0 solved 69142 secs 2.2
core 261 m 6 profiles 859963392 fails 0 solved 74266 secs 2.3
core 262 m 6 profiles 859963392 fails 0 solved 101612 secs 2.0
core 263 m 6 profiles 859963392 fails 0 solved 111493 secs 2.4
core 264 m 6 profiles 859963392 fails 0 solved 88674 secs 2.8
core 265 m 6 profiles 859963392 fails 0 solved 88901 secs 2.5
core 266 m 6 profiles 859963392 fails 0 solved 75684 secs 2.1
core 267 m 6 profiles 859963392 fails 0 solved 74288 secs 2.4
core 268 m 6 profiles 859963392 fails 0 solved 80487 secs 2.8
core 269 m 6 profiles 859963392 fails 0 solved 88783 secs 3.2
core 270 m 6 profiles 859963392 fails 0 solved 75745 secs 2.4
core 271 m 6 profiles 859963392 fails 0 solved 93908 secs 2.4
core 272 m 6 profiles 859963392 fails 0 solved 69931 secs 2.3
core 273 m 6 profiles 859963392 fails 0 solved 84565 secs 2.7
core 274 m 6 profiles 859963392 fails 0 solved 89829 secs 2.2
