# command: python3 k4/suite/run.py rulef --timeout=120
# instances: 150
## rulef: LB₄ʳ with rule F (first agent by lookahead, then index order) and at most one rotation succeeds [K4.AD.* (#44)]
  gm4-G                        n=4 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gm4-H                        n=4 m=6   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gm4-P                        n=4 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
  gm4-S                        n=4 m=6   adaptive: holds (rot0=1 rot1=0; 0.2s)
  hall-bestpair-core44         n=3 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
  hall-bt4                     n=4 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
  hall-btown-core46            n=3 m=8   adaptive: holds (rot0=1 rot1=0; 0.2s)
  hall-cyc6                    n=6 m=15  adaptive: holds (rot0=1 rot1=0; 0.2s)
  hall-local3                  n=3 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-b-r0-pot-minvw        n=2 m=4   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-b-r1                  n=3 m=5   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-b-r2                  n=4 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-g-r0                  n=2 m=4   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-g-r1                  n=2 m=5   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-g-r2                  n=3 m=5   adaptive: holds (rot0=0 rot1=1; 0.2s)
  induct-g-r3                  n=5 m=6   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-gps-q4-a              n=3 m=5   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-gps-q4-b              n=3 m=5   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-lbo-every-run         n=4 m=5   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-lbo-no-partial        n=4 m=5   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-lbo-no-rot            n=4 m=5   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-lbo-not-last          n=5 m=9   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-lbo-owner-only        n=4 m=6   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-pot-env-tiebreaks     n=3 m=5   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-pot-env               n=3 m=5   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-pot-envy              n=3 m=4   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-pot-maxvw             n=3 m=4   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-pot-nash              n=3 m=6   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-pot-util              n=3 m=6   adaptive: holds (rot0=0 rot1=1; 0.2s)
  induct-q4-rules              n=3 m=5   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-v-pot-env-util        n=2 m=5   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-v-r0                  n=2 m=5   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-v-r1                  n=3 m=5   adaptive: holds (rot0=1 rot1=0; 0.2s)
  induct-v-r3                  n=3 m=6   adaptive: holds (rot0=1 rot1=0; 0.2s)
  lb4-fixed-insertion-n3m6     n=3 m=6   adaptive: holds (rot0=1 rot1=0; 0.2s)
  lb4-last-block-leader-index-n4m8 n=4 m=8   adaptive: holds (rot0=1 rot1=0; 0.2s)
  lb4-last-block-leader-n4m8   n=4 m=8   adaptive: holds (rot0=1 rot1=0; 0.2s)
  lb4-lbplus-ef-n3m6           n=3 m=6   adaptive: holds (rot0=1 rot1=0; 0.2s)
  lb4-n2m5-upgrade             n=2 m=5   adaptive: holds (rot0=1 rot1=0; 0.2s)
  lb4-no-rotation-n3m5         n=3 m=5   adaptive: holds (rot0=0 rot1=1; 0.2s)
  lb4-owner-needs-from-base-n4m8 n=4 m=8   adaptive: holds (rot0=1 rot1=0; 0.2s)
  lil-noncore-n3               n=3 m=9   adaptive: n/a (not a k = 4 core; 0.0s)
  lil-text-n3                  n=3 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
  lil-text-n4                  n=4 m=9   adaptive: holds (rot0=1 rot1=0; 0.2s)
  ls-alt-rule-n4m7             n=4 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
  ls-clean-placement-n3m5      n=3 m=5   adaptive: holds (rot0=1 rot1=0; 0.2s)
  ls-dead-end-n4m7             n=4 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
  ls-exchange-no-keep-n3m6     n=3 m=6   adaptive: holds (rot0=1 rot1=0; 0.2s)
  ls-no-exchange-n2m4          n=2 m=4   adaptive: holds (rot0=1 rot1=0; 0.2s)
  ls-one-pool-agent-n5m8       n=5 m=8   adaptive: holds (rot0=1 rot1=0; 0.2s)
  ls-short-cycles-n3m5         n=3 m=5   adaptive: holds (rot0=1 rot1=0; 0.2s)
  ls-simple-split-n4m6         n=4 m=6   adaptive: holds (rot0=1 rot1=0; 0.2s)
  ls-single-dump-n4m7          n=4 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
  lsp-bounded-coalitions-n4m7  n=4 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
  lsp-early-stop-n4m7          n=4 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
  nsw-local-n3m5               n=3 m=5   adaptive: holds (rot0=0 rot1=1; 0.2s)
  nsw-strict-n4m8              n=4 m=8   adaptive: holds (rot0=1 rot1=0; 0.2s)
  nsw-strict-n4m9              n=4 m=9   adaptive: holds (rot0=1 rot1=0; 0.2s)
  red-a1-hopeless-key          n=3 m=6   adaptive: holds (rot0=1 rot1=0; 0.2s)
  red-a2-hstar                 n=3 m=8   adaptive: holds (rot0=1 rot1=0; 0.2s)
  red-b1-blocked-improvement   n=4 m=11  adaptive: holds (rot0=1 rot1=0; 0.2s)
  red-key-without-t0           n=3 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
  red-lil-nokeep-b             n=3 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
  red-pm-offpath-hypothesis    n=3 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
# disagreements: 0
